"nbsp";"sing.sp";"FRic";"qual.FRic";"FEve";"FDiv";"FDis";"RaoQ"
"abrolhos.chapeirao";22;21;0.000529044988783399;0.175204856159231;0.387103027558148;0.921545164858916;0.180546025624241;0.0365728284263753
"abrolhos.portinho_norte";39;38;0.0173733836684716;0.175204856159231;0.367655689284735;0.897427527949879;0.244283168718624;0.0623085839476707
"abrolhos.siriba";42;41;0.0239793623996539;0.175204856159231;0.371215148564915;0.797107061100346;0.245623985215727;0.0644845276371123
"alcatrazes.portinho_sudoeste";39;39;0.0480167848353315;0.175204856159231;0.590841335654195;0.90949894191123;0.234857937152723;0.0667104347433619
"arraial.anequim";58;57;0.0725391487618584;0.175204856159231;0.404529252942884;0.862831644631431;0.296527597927328;0.0932681029408853
"arraial.cardeiros";60;60;0.0616089477327466;0.175204856159231;0.4383758509013;0.845895948635401;0.270412589705856;0.0776220947320266
"arraial.porcos_oeste";64;63;0.11540638856129;0.175204856159231;0.459819793531382;0.797726459023217;0.282780807934271;0.0840889309216549
"btds_santos.farol_da_barra";25;25;0.0118041819549529;0.175204856159231;0.522964348407412;0.83870791981731;0.211685812921945;0.0570683550140262
"btds_santos.frades";37;36;0.0255972838495533;0.175204856159231;0.329135696559897;0.943223035029937;0.300262580872027;0.093591847426589
"btds_santos.pedra_cardinal";30;29;0.00890973291900871;0.175204856159231;0.579116512062943;0.958889753422743;0.175358284942525;0.0463825240049905
"btds_santos.poste_quatro";28;27;0.00788438075496243;0.175204856159231;0.442072400557873;0.950291282858522;0.221429404178317;0.06249233699432
"costa_corais.barra_da_gale";22;22;0.00153800551625298;0.175204856159231;0.537007877336099;0.909147213495762;0.2385087310284;0.0692930678823774
"costa_corais.gales";24;23;0.000772372285978766;0.175204856159231;0.536740307723528;0.851798831221226;0.233146699036477;0.062838903569626
"costa_corais.taocas";17;17;0.000554169029867525;0.175204856159231;0.523370893721661;0.70512306309256;0.169765317852976;0.0372206176632751
"espirito_santo.escalvada";47;46;0.0355443948783479;0.175204856159231;0.564199968643659;0.879156014428875;0.251703154826886;0.0747707899049165
"espirito_santo.ilhas_rasas";39;39;0.0400633785661514;0.175204856159231;0.483837091689209;0.820718466830867;0.270895385752192;0.0815442486555364
"ilhabela.ilha_das_cabras";41;41;0.039728740488629;0.175204856159231;0.552908464828585;0.957872431246342;0.257380498202755;0.0804757880076912
"ilhabela.saco_do_diogo";49;49;0.0546271366367924;0.175204856159231;0.451335019462163;0.917776719452715;0.33539248169294;0.120183216542857
"ilhabela.saco_do_sombrio";50;50;0.052086593826882;0.175204856159231;0.454515472789995;0.915676617362207;0.229596134017848;0.0669904304238203
"ilhasc_norte.arvoredo_saco_dagua";57;57;0.0795084620210344;0.175204856159231;0.406239485944605;0.907209031228217;0.223691109677971;0.0677228895110106
"ilhasc_norte.deserta_norte";60;60;0.09225997059625;0.175204856159231;0.444379467220647;0.941680147804889;0.242996706303541;0.0732739874619025
"ilhasc_sul.xavier_ponta_sul";24;24;0.00710355611280948;0.175204856159231;0.547862582474032;0.866068931185423;0.324978170813716;0.111829434157756
"manuel_luis.ana_cristina";53;52;0.0538291470983299;0.175204856159231;0.430581538954439;0.644069143758866;0.178580927477974;0.0440301625954785
"noronha.cagarras_noronha";53;51;0.233937172831103;0.175204856159231;0.415377479334733;0.706118879315493;0.275047503555446;0.0811311768816756
"noronha.conceicao";28;27;0.0288928465074317;0.175204856159231;0.393751660650691;0.924215841663553;0.20978536493358;0.0544370663582987
"rgnor_norte.batente_das_agulhas";62;61;0.142549864335981;0.175204856159231;0.334945876012149;0.875428936735317;0.248126689025836;0.0698121100060235
"rgnor_norte.pedra_do_silva";68;67;0.135504566276233;0.175204856159231;0.331687812768316;0.793184410770239;0.25684101426624;0.0695876635959644
"rgnor_parrachos.maracajau";33;32;0.00548327502708179;0.175204856159231;0.454642108560193;0.882963346239201;0.238752636112344;0.0627446698012047
"rgnor_parrachos.parrachos_de_rio_do_fogo";35;34;0.0311263891412634;0.175204856159231;0.444221502466581;0.790832542847151;0.225212546001862;0.0573431169150936
"rocas.ancoras";30;29;0.051161050197858;0.175204856159231;0.311838894114093;0.565058291453196;0.218839142237106;0.0559000821421868
"rocas.falsa_barreta";23;22;0.0249956412689073;0.175204856159231;0.168918549626509;0.560783354829872;0.242551604482619;0.0641646158155544
"rocas.piscina_das_rocas";29;28;0.0262670454449149;0.175204856159231;0.15731106685843;0.776666952128276;0.232320675185381;0.0641534610272045
"rocas.podes_crer";21;20;0.0127296879548224;0.175204856159231;0.388575215394342;0.494544806669148;0.224822254854418;0.0572542532092204
"rocas.salao";16;15;0.00292611278878212;0.175204856159231;0.570928726037396;0.468838215801596;0.259012986279133;0.0694234789384046
"rocas.tartarugas";29;28;0.0531997225043249;0.175204856159231;0.240081114606417;0.544685099445011;0.240134040684378;0.0637920975174917
"trindade.calheta";48;47;0.144126096229553;0.175204856159231;0.429218996986409;0.569953468673063;0.211751672945144;0.061493122926823
"trindade.farilhoes";48;47;0.180184730853182;0.175204856159231;0.468812250488676;0.701054766947842;0.267320035495241;0.0800653671528486
"trindade.orelhas";43;43;0.100057434960779;0.175204856159231;0.482502722152259;0.657140514885475;0.262455463720543;0.0798482121345859
